Table 1
Discr. variable  1;Discr. variable  2;Discr. variable  3;Discr. variable  4;Discr. variable  5;Discr. variable  6;Cont..variable..1;Cont..variable..2;Cont..variable..3;Cont..variable..4;Cont..variable..5;Cont..variable..6;Cont..variable..7;Cont..variable..8;Cont..variable..9;Cont..variable..10;Cont..variable..11;Cont..variable..12
1;2;0;1;0;0;-0.626053874855286;0.177795323685896;0.661965971681549;0.780746748496162;0.163532827044476;-0.3763930614884;-0.15860234872364;-0.877016584765605;0.143726468230321;-0.78958392720167;-0.591857933735834;1.81090271924907
1;1;0;1;0;0;-0.80036401035026;0.941005195651031;1.27036905643509;0.885428187361035;0.732548496877706;0.217695903124054;0.879273983121193;-0.6688581836287;0.00125826617202479;0.0444971032326698;-0.295542898706789;0.132396547725024
2;1;0;0;0;0;1.20420254784193;0.550699938328949;0.697754388431757;1.19947250395565;0.637712551905501;6.55464485899023;-0.602139242674424;0.312459993159562;-0.511627261237842;-0.84013429268254;0.34045034720921;-0.539005920884595
1;2;0;0;1;0;0.0711866671246069;1.04293294349653;0.697754388431757;0.204998834739362;-0.120975007872138;-0.871467198665445;0.417995613412378;-1.32307030148754;2.35673254020253;0.0529221641461485;0.376586327090801;-0.0914042751448495
2;1;0;1;0;0;0.855582276851987;0.686602470704971;0.733542805181966;0.414361712469107;0.732548496877706;0.316710730559463;0.657505536145801;-0.6688581836287;-0.112716295474612;-0.174554480517763;-0.353360466517334;0.24429695915996
2;2;0;0;1;1;0.7684272091045;1.87492227960416;1.80719530768822;1.25181322338809;1.30156416671094;-0.3763930614884;-0.744071048738675;1.32351508439595;0.827573838110144;-0.393606064268196;1.7280719746623;1.25140066207439
2;3;0;0;1;0;0.681272141357013;-0.569670301509185;0.0893513036782153;-0.684793395612056;-0.215810952844343;0.217695903124054;1.1099131679756;-1.14464881479877;-0.644597583158919;0.347799296117885;-0.201589351014652;-1.21040838949421
1;2;0;0;0;0;-0.5388988071078;-0.178535149105659;0.19671655392884;-0.266067640152565;-0.595154732733163;0.712770040301099;-1.24083236996355;-1.02570115700625;-0.853550946177754;-1.10973624191384;-0.902627360717515;-0.986607566624341
2;1;0;0;0;0;0.419806938114553;-0.314437681481681;-0.411686530824702;-0.841815553909365;-0.784826622677573;0.61375521286569;-0.540044077521314;-0.282278295803021;-0.150707816023491;0.499450392560492;-0.346133270541016;-0.874707155189405
1;3;0;1;0;0;-0.364588671612826;-0.0600349565356221;0.125139720428424;0.362020993036671;0.0686968820722714;-0.0793485791821729;0.728471439177927;-0.193067552458633;0.124730707955882;0.533150636214405;-0.0425910395356529;-0.427105509449658
1;2;0;0;0;0;1.11704748009445;-0.314437681481681;0.769331221932174;0.204998834739362;0.922220386822116;-0.3763930614884;0.480090778565488;-0.579647440284313;-0.701584863982238;-0.23352990691211;-0.194362155038334;-1.09850797805928
1;3;0;0;0;0;-0.0159684006228797;-0.212511630763142;0.0893513036782153;-0.789474834476929;-0.689990677705368;-0.574422716359218;2.09456507254634;-0.252541381354892;0.98903780044288;1.46833239761048;-0.60631232568847;-0.762806743754468
1;2;0;1;0;0;-0.0159684006228797;-0.46774255366369;0.268293387429257;1.14713178452322;1.58607200162755;-0.178363406617582;0.293805283106159;-0.0146460657698589;-0.682589103707798;-0.174554480517763;-0.324451682612061;-0.203304686579786
2;1;0;1;1;0;0.158341734872094;0.771126181617525;-0.0180139465724097;0.728406029063726;1.30156416671094;0.811784867736508;0.950239886153318;-0.877016584765605;0.267198910014178;0.499450392560492;0.123634467919665;0.579998193464769
2;1;0;0;1;1;1.20420254784193;3.02843740889138;1.87877214118863;1.09479106509078;1.30156416671094;0.316710730559463;-0.238438989634781;1.08561976881092;-0.540120901649502;-0.132429175950372;0.716264537977756;-0.315205098014723
2;2;0;1;0;0;-1.58475962007764;-0.365816502945151;-1.37797378308033;-1.31288202880129;-0.784826622677573;1.20784417747814;-0.0521534941754522;-0.0741198946661173;-0.274180257807348;-0.402031125181674;-0.346133270541016;-0.427105509449658
2;3;0;0;0;0;-0.5388988071078;0.16039298387991;0.268293387429257;-0.946496992774238;-0.500318787760958;-0.574422716359218;-0.540044077521314;2.03720103115105;-0.426146340002864;-0.334630637873848;-0.440086818233152;0.132396547725024
