"","dist","estimator","col","relb_coef"
"213","norm_mix1","rfcont10","X",0.378716473064919
"214","norm_mix1","rfcont10","XZ",0.034352181303177
"215","norm_mix1","micePMM","X",0.174315576373227
"216","norm_mix1","micePMM","XZ",-0.309261281359837
"217","norm_mix1","missForest","X",-0.123953595447131
"218","norm_mix1","missForest","XZ",0.0734674463236634
"219","norm_mix1","rfcont10","X",0.333119559484862
"220","norm_mix1","rfcont10","XZ",0.0338389534179949
"221","norm_mix1","micePMM","X",-0.0178615925919876
"222","norm_mix1","micePMM","XZ",-0.332446376626433
"223","norm_mix1","missForest","X",-0.0472448679243012
"224","norm_mix1","missForest","XZ",0.00970673260145084
"225","norm_mix1","rfcont10","X",0.627917960226924
"226","norm_mix1","rfcont10","XZ",-0.0589764214919769
"227","norm_mix1","micePMM","X",-0.053030106240891
"228","norm_mix1","micePMM","XZ",-0.187428474555554
"229","norm_mix1","missForest","X",-0.435456292746475
"230","norm_mix1","missForest","XZ",0.148091691774429
"231","norm_mix1","rfcont10","X",0.105304833370385
"232","norm_mix1","rfcont10","XZ",0.0640078384488073
"233","norm_mix1","micePMM","X",0.401168146010886
"234","norm_mix1","micePMM","XZ",-0.319907793671767
"235","norm_mix1","missForest","X",-0.230334883042841
"236","norm_mix1","missForest","XZ",0.0985682303955547
"237","norm_mix1","rfcont10","X",0.06093336114014
"238","norm_mix1","rfcont10","XZ",0.0934982537494603
"239","norm_mix1","micePMM","X",0.231994269294061
"240","norm_mix1","micePMM","XZ",-0.374870454366287
"241","norm_mix1","missForest","X",-0.197161911748347
"242","norm_mix1","missForest","XZ",0.0671083401053823
"243","norm_mix1","rfcont10","X",0.184746679388482
"244","norm_mix1","rfcont10","XZ",0.109612262006332
"245","norm_mix1","micePMM","X",0.217498222427782
"246","norm_mix1","micePMM","XZ",-0.248958129937147
"247","norm_mix1","missForest","X",-0.169233022204882
"248","norm_mix1","missForest","XZ",0.0761821653665294
"249","norm_mix1","rfcont10","X",0.52363907742947
"250","norm_mix1","rfcont10","XZ",-0.00131847757674921
"251","norm_mix1","micePMM","X",0.358595612084759
"252","norm_mix1","micePMM","XZ",-0.278384179330471
"253","norm_mix1","missForest","X",-0.20375090670482
"254","norm_mix1","missForest","XZ",0.0919470334616128
"255","norm_mix1","rfcont10","X",0.406671540983873
"256","norm_mix1","rfcont10","XZ",0.0394626437733897
"257","norm_mix1","micePMM","X",0.49487025702709
"258","norm_mix1","micePMM","XZ",-0.422225545628497
"259","norm_mix1","missForest","X",-0.106523745209737
"260","norm_mix1","missForest","XZ",0.0357451749409406
"261","norm_mix1","rfcont10","X",0.17031301273149
"262","norm_mix1","rfcont10","XZ",0.020248679649665
"263","norm_mix1","micePMM","X",-0.353582806250281
"264","norm_mix1","micePMM","XZ",-0.231569688934548
"265","norm_mix1","missForest","X",-0.129278603583962
"266","norm_mix1","missForest","XZ",0.0620642192097036
"267","norm_mix1","rfcont10","X",0.261727572950657
"268","norm_mix1","rfcont10","XZ",0.0253747435546449
"269","norm_mix1","micePMM","X",-0.0702829159028746
"270","norm_mix1","micePMM","XZ",-0.200295713552167
"271","norm_mix1","missForest","X",-0.138210982199851
"272","norm_mix1","missForest","XZ",0.0544089644999536
"273","norm_mix1","rfcont10","X",0.105931693477234
"274","norm_mix1","rfcont10","XZ",0.0647812292660186
"275","norm_mix1","micePMM","X",-0.372026980701685
"276","norm_mix1","micePMM","XZ",-0.175056830294831
"277","norm_mix1","missForest","X",-0.252064349048366
"278","norm_mix1","missForest","XZ",0.105029232668663
"279","norm_mix1","rfcont10","X",0.193061650533706
"280","norm_mix1","rfcont10","XZ",0.0779986411752958
"281","norm_mix1","micePMM","X",-0.20285807417343
"282","norm_mix1","micePMM","XZ",-0.205439206558359
"283","norm_mix1","missForest","X",-0.0542020643494707
"284","norm_mix1","missForest","XZ",0.0356530393393642
"285","norm_mix1","rfcont10","X",0.352798589868138
"286","norm_mix1","rfcont10","XZ",0.0002078284052094
"287","norm_mix1","micePMM","X",-0.0389322260731079
"288","norm_mix1","micePMM","XZ",-0.149713628059085
"289","norm_mix1","missForest","X",-0.157117342242453
"290","norm_mix1","missForest","XZ",0.0825012923226003
"291","norm_mix1","rfcont10","X",-0.0569107822380107
"292","norm_mix1","rfcont10","XZ",0.164715602742367
"293","norm_mix1","micePMM","X",0.761439635365412
"294","norm_mix1","micePMM","XZ",-0.360115367664068
"295","norm_mix1","missForest","X",-0.140444258847167
"296","norm_mix1","missForest","XZ",0.0621448285283567
"297","norm_mix1","rfcont10","X",0.282467297671035
"298","norm_mix1","rfcont10","XZ",0.00656420823199423
"299","norm_mix1","micePMM","X",0.147614900007678
"300","norm_mix1","micePMM","XZ",-0.307918046242548
"301","norm_mix1","missForest","X",-0.126694794996026
"302","norm_mix1","missForest","XZ",0.0623211338447981
"303","norm_mix1","rfcont10","X",0.231275039139365
"304","norm_mix1","rfcont10","XZ",0.0467129280950122
"305","norm_mix1","micePMM","X",0.158328321980395
"306","norm_mix1","micePMM","XZ",-0.293341816248148
"307","norm_mix1","missForest","X",-0.180359274254199
"308","norm_mix1","missForest","XZ",0.0668408538137869
"309","norm_mix1","rfcont10","X",0.203323807544548
"310","norm_mix1","rfcont10","XZ",0.0256424053324453
"311","norm_mix1","micePMM","X",0.0383199941198613
"312","norm_mix1","micePMM","XZ",-0.351788703549343
"313","norm_mix1","missForest","X",-0.417662846135968
"314","norm_mix1","missForest","XZ",0.183789416374422
"315","norm_mix1","rfcont10","X",0.274467589936289
"316","norm_mix1","rfcont10","XZ",0.0834593021025494
"317","norm_mix1","micePMM","X",0.20577097274871
"318","norm_mix1","micePMM","XZ",-0.228955906556079
"319","norm_mix1","missForest","X",-0.198335353244254
"320","norm_mix1","missForest","XZ",0.0660742474081315
"321","norm_mix1","rfcont10","X",0.0844702745112076
"322","norm_mix1","rfcont10","XZ",0.0638579449735823
"323","norm_mix1","micePMM","X",0.56879709793587
"324","norm_mix1","micePMM","XZ",-0.409047443760153
"325","norm_mix1","missForest","X",-0.334810188266936
"326","norm_mix1","missForest","XZ",0.126879519685197
"327","norm_mix1","rfcont10","X",0.622513391499668
"328","norm_mix1","rfcont10","XZ",-0.0510296851985022
"329","norm_mix1","micePMM","X",0.867807117246179
"330","norm_mix1","micePMM","XZ",-0.459069312111987
"331","norm_mix1","missForest","X",-0.377242475743794
"332","norm_mix1","missForest","XZ",0.142878294902805
"333","norm_mix1","rfcont10","X",0.0712961737897029
"334","norm_mix1","rfcont10","XZ",0.140035792173622
"335","norm_mix1","micePMM","X",0.783497831663251
"336","norm_mix1","micePMM","XZ",-0.367524743077679
"337","norm_mix1","missForest","X",-0.514281491981405
"338","norm_mix1","missForest","XZ",0.183405342408672
"339","norm_mix1","rfcont10","X",0.120237388729404
"340","norm_mix1","rfcont10","XZ",0.0796178680327984
"341","norm_mix1","micePMM","X",0.415955475475798
"342","norm_mix1","micePMM","XZ",-0.336795655631005
"343","norm_mix1","missForest","X",-0.221211528023576
"344","norm_mix1","missForest","XZ",0.0850430947723661
"345","norm_mix1","rfcont10","X",0.277535459251314
