"","dist","estimator","col","nrmse"
"354","unif","micePMM","X",1.10626617129819
"355","unif","missForest","X",0.796719784708977
"356","unif","rfcont10","X",0.750819786319002
"357","unif","micePMM","X",0.991257420941348
"358","unif","missForest","X",0.886575101923926
"359","unif","rfcont10","X",0.759759298431246
"360","unif","micePMM","X",1.00929918880251
"361","unif","missForest","X",0.760465429583599
"362","unif","rfcont10","X",0.764845556144886
"363","unif","micePMM","X",1.03673775109079
"364","unif","missForest","X",0.7864114216288
"365","unif","rfcont10","X",0.719693215051966
"366","unif","micePMM","X",1.05761630522299
"367","unif","missForest","X",0.80716546714655
"368","unif","rfcont10","X",0.814254100094228
"369","unif","micePMM","X",1.01994244241878
"370","unif","missForest","X",0.765351829826403
"371","unif","rfcont10","X",0.808344367639086
"372","unif","micePMM","X",1.1267691261492
"373","unif","missForest","X",0.829947438371766
"374","unif","rfcont10","X",0.801906850759164
"375","unif","micePMM","X",1.03802255611302
"376","unif","missForest","X",0.866028553207202
"377","unif","rfcont10","X",0.786853094138828
"378","unif","micePMM","X",1.0643802814079
"379","unif","missForest","X",0.831880177673559
"380","unif","rfcont10","X",0.774186058040448
"381","unif","micePMM","X",1.05020322817507
"382","unif","missForest","X",0.748663375040597
"383","unif","rfcont10","X",0.767288213102571
"384","unif","micePMM","X",1.04705556559552
"385","unif","missForest","X",0.811034580557268
"386","unif","rfcont10","X",0.787743161222134
"387","unif","micePMM","X",1.12938967459535
"388","unif","missForest","X",0.722190719703356
"389","unif","rfcont10","X",0.759027919915959
"390","unif","micePMM","X",1.02468612627218
"391","unif","missForest","X",0.743769522514395
"392","unif","rfcont10","X",0.744194764755248
"393","unif","micePMM","X",1.08177003453835
"394","unif","missForest","X",0.819448389881536
"395","unif","rfcont10","X",0.749043859717127
"396","unif","micePMM","X",1.1125949715483
"397","unif","missForest","X",0.73073672563205
"398","unif","rfcont10","X",0.732590553180283
"399","unif","micePMM","X",1.05056883726125
"400","unif","missForest","X",0.808503120868554
"401","unif","rfcont10","X",0.767201078258074
"402","unif","micePMM","X",1.04199709334068
"403","unif","missForest","X",0.783141375170908
"404","unif","rfcont10","X",0.740276427236094
"405","unif","micePMM","X",1.03032356579538
"406","unif","missForest","X",0.827246993101925
"407","unif","rfcont10","X",0.780494799882415
"408","unif","micePMM","X",1.05538960198698
"409","unif","missForest","X",0.783114763680318
"410","unif","rfcont10","X",0.738296576742679
"411","unif","micePMM","X",1.00055802360695
"412","unif","missForest","X",0.814107903017685
"413","unif","rfcont10","X",0.791933144855766
"414","unif","micePMM","X",1.03798822506471
"415","unif","missForest","X",0.75241794479529
"416","unif","rfcont10","X",0.734622762276737
"417","unif","micePMM","X",1.05124779286756
"418","unif","missForest","X",0.807953868784418
"419","unif","rfcont10","X",0.838082064545678
"420","unif","micePMM","X",1.11933317572068
"421","unif","missForest","X",0.825598850871714
"422","unif","rfcont10","X",0.735568164246071
"423","unif","micePMM","X",1.05976073921336
"424","unif","missForest","X",0.802520811309356
"425","unif","rfcont10","X",0.788786464736196
"426","unif","micePMM","X",1.07207352300861
"427","unif","missForest","X",0.857997116030612
"428","unif","rfcont10","X",0.752199480718443
"429","unif","micePMM","X",1.07900061676099
"430","unif","missForest","X",0.73082741844086
"431","unif","rfcont10","X",0.758094361848721
"432","unif","micePMM","X",1.04254136566631
"433","unif","missForest","X",0.771436166093208
"434","unif","rfcont10","X",0.761546859693288
"435","unif","micePMM","X",1.09086822211554
"436","unif","missForest","X",0.757392168850133
"437","unif","rfcont10","X",0.735941682140726
"438","unif","micePMM","X",1.00451395282293
"439","unif","missForest","X",0.813699899567035
"440","unif","rfcont10","X",0.775699201565995
"441","unif","micePMM","X",1.02627954979224
"442","unif","missForest","X",0.782987675171005
"443","unif","rfcont10","X",0.768480363750529
"444","unif","micePMM","X",1.06086344155985
"445","unif","missForest","X",0.802662934962981
"446","unif","rfcont10","X",0.769392970769996
"447","unif","micePMM","X",1.09022415103623
"448","unif","missForest","X",0.841718730204276
"449","unif","rfcont10","X",0.77516732258177
"450","unif","micePMM","X",1.08422879232013
"451","unif","missForest","X",0.760777960030876
"452","unif","rfcont10","X",0.768254330151552
"453","unif","micePMM","X",1.06722116470275
"454","unif","missForest","X",0.784826102373912
"455","unif","rfcont10","X",0.700397708073215
"456","unif","micePMM","X",1.04710726341164
"457","unif","missForest","X",0.7324686878746
"458","unif","rfcont10","X",0.726123183113254
"459","unif","micePMM","X",0.975522159350142
"460","unif","missForest","X",0.827211344967421
"461","unif","rfcont10","X",0.789992833737446
"462","unif","micePMM","X",1.05329239192709
"463","unif","missForest","X",0.828466039556203
"464","unif","rfcont10","X",0.776815753696521
"465","unif","micePMM","X",1.03914951936084
"466","unif","missForest","X",0.748518645932597
"467","unif","rfcont10","X",0.755489600207825
"468","unif","micePMM","X",1.01529424164274
"469","unif","missForest","X",0.888516573427
"470","unif","rfcont10","X",0.761568725901147
"471","unif","micePMM","X",1.02603229777027
"472","unif","missForest","X",0.803709562769611
"473","unif","rfcont10","X",0.77775067527402
"474","unif","micePMM","X",1.11999133546283
"475","unif","missForest","X",0.842258025930717
"476","unif","rfcont10","X",0.794768196333259
"477","unif","micePMM","X",1.01848332455232
"478","unif","missForest","X",0.805496666180145
"479","unif","rfcont10","X",0.781710792195437
"480","unif","micePMM","X",1.00156904829306
"481","unif","missForest","X",0.826908550169474
"482","unif","rfcont10","X",0.812958498773553
"483","unif","micePMM","X",1.08536404875027
"484","unif","missForest","X",0.79147461954087
"485","unif","rfcont10","X",0.761555702125923
"486","unif","micePMM","X",0.991866317979188
"487","unif","missForest","X",0.771492145822962
"488","unif","rfcont10","X",0.810871096918739
"489","unif","micePMM","X",1.06504585091401
"490","unif","missForest","X",0.763178959531975
"491","unif","rfcont10","X",0.799120901720331
"492","unif","micePMM","X",1.08221657463428
"493","unif","missForest","X",0.797679406616891
"494","unif","rfcont10","X",0.77501837310709
"495","unif","micePMM","X",1.02453149633257
"496","unif","missForest","X",0.773567347159657
"497","unif","rfcont10","X",0.761423165929085
"498","unif","micePMM","X",1.0390867115235
"499","unif","missForest","X",0.863979565861856
"500","unif","rfcont10","X",0.782716636036105
"501","unif","micePMM","X",0.988323990384144
"502","unif","missForest","X",0.880765311879424
"503","unif","rfcont10","X",0.744950335553064
"504","unif","micePMM","X",1.07811878688845
"505","unif","missForest","X",0.823447008623182
"506","unif","rfcont10","X",0.779987352396056
"507","unif","micePMM","X",1.06000983431362
"508","unif","missForest","X",0.737094194147943
"509","unif","rfcont10","X",0.777013947896774
"510","unif","micePMM","X",1.00760767933418
"511","unif","missForest","X",0.790817709159128
"512","unif","rfcont10","X",0.73009937319775
"513","unif","micePMM","X",1.03214700226911
"514","unif","missForest","X",0.802360256713663
"515","unif","rfcont10","X",0.748710121164186
"516","unif","micePMM","X",1.06288897713222
"517","unif","missForest","X",0.791562681358984
"518","unif","rfcont10","X",0.744483223473675
"519","unif","micePMM","X",1.03270595146612
"520","unif","missForest","X",0.765646764850238
"521","unif","rfcont10","X",0.790459493284844
"522","unif","micePMM","X",1.11269272680965
"523","unif","missForest","X",0.860995005748984
"524","unif","rfcont10","X",0.793880173990573
"525","unif","micePMM","X",1.05494584659563
"526","unif","missForest","X",0.743159887413263
"527","unif","rfcont10","X",0.762906767788954
"528","unif","micePMM","X",1.00812750385383
"529","unif","missForest","X",0.743182288831903
"530","unif","rfcont10","X",0.743500699603785
"531","unif","micePMM","X",1.10659151134405
"532","unif","missForest","X",0.800201492168254
"533","unif","rfcont10","X",0.778885742069383
"534","unif","micePMM","X",1.09383062123967
"535","unif","missForest","X",0.811500207497076
"536","unif","rfcont10","X",0.757543596248034
"537","unif","micePMM","X",1.08743176810338
"538","unif","missForest","X",0.817743131279684
"539","unif","rfcont10","X",0.75093795794344
"540","unif","micePMM","X",1.00609496744542
"541","unif","missForest","X",0.76008575095042
"542","unif","rfcont10","X",0.76109330373775
"543","unif","micePMM","X",1.04895039575048
"544","unif","missForest","X",0.828880140793967
"545","unif","rfcont10","X",0.782873720356404
"546","unif","micePMM","X",1.07071214802721
"547","unif","missForest","X",0.754794189346605
"548","unif","rfcont10","X",0.769139977280491
"549","unif","micePMM","X",0.997652443757013
"550","unif","missForest","X",0.78501768160213
"551","unif","rfcont10","X",0.793186498052332
"552","unif","micePMM","X",1.00001829757754
"553","unif","missForest","X",0.745862862081242
"554","unif","rfcont10","X",0.783142902067119
"555","unif","micePMM","X",1.02918106274194
"556","unif","missForest","X",0.777250027156412
"557","unif","rfcont10","X",0.783550487050884
"558","unif","micePMM","X",1.01128751124913
"559","unif","missForest","X",0.817681761407803
"560","unif","rfcont10","X",0.805797124827736
"561","unif","micePMM","X",1.0720668719252
"562","unif","missForest","X",0.730763500236867
"563","unif","rfcont10","X",0.738818654509757
"564","unif","micePMM","X",1.02922839645088
"565","unif","missForest","X",0.859554813689031
"566","unif","rfcont10","X",0.745677677620252
"567","unif","micePMM","X",1.03160588827729
"568","unif","missForest","X",0.869399484728408
"569","unif","rfcont10","X",0.761088780687009
"570","unif","micePMM","X",0.972108696188176
"571","unif","missForest","X",0.812102033753069
"572","unif","rfcont10","X",0.735563738706585
"573","unif","micePMM","X",1.08926454192208
"574","unif","missForest","X",0.741903716227733
"575","unif","rfcont10","X",0.774050824239014
"576","unif","micePMM","X",1.06291630666573
"577","unif","missForest","X",0.825309115040696
"578","unif","rfcont10","X",0.776655902851777
"579","unif","micePMM","X",1.00554791960622
"580","unif","missForest","X",0.753764807979254
"581","unif","rfcont10","X",0.761268717649965
"582","unif","micePMM","X",1.05172470944242
"583","unif","missForest","X",0.85781446906784
"584","unif","rfcont10","X",0.806847909712344
"585","unif","micePMM","X",1.0029454522469
"586","unif","missForest","X",0.745117247522657
"587","unif","rfcont10","X",0.786637885142504
"588","unif","micePMM","X",1.06576659611879
"589","unif","missForest","X",0.809665459958338
"590","unif","rfcont10","X",0.759661434009587
"591","unif","micePMM","X",1.15661872732083
"592","unif","missForest","X",0.804756099774516
"593","unif","rfcont10","X",0.750598071465455
"594","unif","micePMM","X",1.01585774390044
"595","unif","missForest","X",0.720555893589831
"596","unif","rfcont10","X",0.757101548491434
"597","unif","micePMM","X",0.969053353584023
"598","unif","missForest","X",0.795921968517127
"599","unif","rfcont10","X",0.787516796884777
"600","unif","micePMM","X",0.992054532990139
"601","lognorm1","missForest","X",0.993874187270738
"602","lognorm1","rfcont10","X",1.05002487955481
"603","lognorm1","micePMM","X",1.37125119777267
"604","lognorm1","missForest","X",0.985557430670912
"605","lognorm1","rfcont10","X",0.999018419216922
"606","lognorm1","micePMM","X",1.10429090213011
"607","lognorm1","missForest","X",1.0675532658618
"608","lognorm1","rfcont10","X",1.02856479241108
"609","lognorm1","micePMM","X",1.36067078673467
"610","lognorm1","missForest","X",1.00021817958223
"611","lognorm1","rfcont10","X",1.04894854002169
"612","lognorm1","micePMM","X",1.23276209722777
"613","lognorm1","missForest","X",1.00042914484257
"614","lognorm1","rfcont10","X",1.00951808369706
"615","lognorm1","micePMM","X",1.25071786251755
"616","lognorm1","missForest","X",0.987144841296057
"617","lognorm1","rfcont10","X",1.00283234161786
"618","lognorm1","micePMM","X",1.27535697538766
"619","lognorm1","missForest","X",0.987181250256104
"620","lognorm1","rfcont10","X",1.0265843273698
"621","lognorm1","micePMM","X",1.20502550673805
"622","lognorm1","missForest","X",1.0093640800899
"623","lognorm1","rfcont10","X",1.03520077498628
"624","lognorm1","micePMM","X",1.12055303024822
"625","lognorm1","missForest","X",0.992694879388262
"626","lognorm1","rfcont10","X",1.01533429521304
"627","lognorm1","micePMM","X",1.18432856065815
"628","lognorm1","missForest","X",1.00366706052113
"629","lognorm1","rfcont10","X",1.02441539486436
"630","lognorm1","micePMM","X",1.10401214575786
"631","lognorm1","missForest","X",0.994392964674443
"632","lognorm1","rfcont10","X",1.05084385917284
"633","lognorm1","micePMM","X",1.25643176681125
"634","lognorm1","missForest","X",0.998456839701841
"635","lognorm1","rfcont10","X",1.02795865792559
"636","lognorm1","micePMM","X",1.17032254365245
"637","lognorm1","missForest","X",1.0055170509736
"638","lognorm1","rfcont10","X",1.026845367512
"639","lognorm1","micePMM","X",1.36568026903698
"640","lognorm1","missForest","X",1.02041936664437
"641","lognorm1","rfcont10","X",1.03263940909893
"642","lognorm1","micePMM","X",1.13355488654539
"643","lognorm1","missForest","X",0.990875694487748
"644","lognorm1","rfcont10","X",1.0137279736575
"645","lognorm1","micePMM","X",1.22592171721521
"646","lognorm1","missForest","X",1.04268635645869
"647","lognorm1","rfcont10","X",1.04995122488083
"648","lognorm1","micePMM","X",1.1739494890669
"649","lognorm1","missForest","X",1.02082450213587
"650","lognorm1","rfcont10","X",0.99258643017968
"651","lognorm1","micePMM","X",1.10227238847085
"652","lognorm1","missForest","X",0.994340861907644
"653","lognorm1","rfcont10","X",1.00265644952546
"654","lognorm1","micePMM","X",1.27127576394433
"655","lognorm1","missForest","X",0.983518346450298
"656","lognorm1","rfcont10","X",1.01346723172288
